nct_id,Type,Criterion
NCT07270172,Inclusion,"Male or female persons ≥40 years old with T1D (diagnosis before age 30 with insulin from onset or if diagnosis after 30 years of age insulin from onset and DKA or positive autoantibodies (in accordance with local guidelines), or confirmed, at the investigator's discretion by the available medical records) during >10 years."
NCT07270172,Inclusion,"Presence of chronic kidney disease (UACR >30 mg/g or eGFR < 60 ml/min/1.73 m2) OR history of ischemic heart disease (previous myocardial infarction, stroke or angina) OR history of heart failure OR obesity grade 2 and 3 (BMI>35 kg/m2) OR 5-year CVD risk >10% according to Steno Type 1 Risk Engine."
NCT07270172,Inclusion,"Fertile females must use highly efficient chemical, hormonal and mechanical contraceptives during the whole study and at least 2 months after cessation of study drug. The following contraceptive methods are approved: IUD or hormonal contraception that inhibits ovulation, i.e. pills, implantations, transdermal patches, vaginal ring or depot injection. Alternatively, be in menopause (i.e. must not have had regular menstrual bleeding for at least one year), have undergone bilateral oophorectomy or have been surgically sterilized or hysterectomised at least 12 months prior to screening."
NCT07270172,Exclusion,"Type 2 Diabetes, Maturity-onset diabetes of the young (MODY), secondary diabetes."
NCT07270172,Exclusion,History of pancreatitis.
NCT07270172,Exclusion,Body mass index < 18.5 kg/m2
NCT07270172,Exclusion,"Females of childbearing potential who are pregnant, breast-feeding, intend to become pregnant or are not using adequate contraceptive methods."
NCT07270172,Exclusion,Known or suspected abuse of alcohol or recreational drugs.
NCT07270172,Exclusion,Participant in another drug-intervention study.
NCT07270172,Exclusion,Chronic Kidney Disease stage 5.
NCT07242664,Inclusion,18-64 years of age
NCT07242664,Inclusion,HbA1c <= 9.0%.
NCT07242664,Inclusion,Body Mass Index (BMI) between 18.5 and 29.0 kg/m^2
NCT07242664,Inclusion,"treated with a stable insulin regimen for at least 2 months, in a dose > 0.2 and < 1.2 U/kg/day"
NCT07242664,Exclusion,blood pressure outside the range 90 to 140 mmHg (systolic) or 50 to 99 mmHg (diastolic)
NCT07242664,Exclusion,clinically significant concomitant diseases
NCT07242664,Exclusion,recurrent severe hypoglycemia (more than 1 severe hypoglycemic episode requiring assistance from another person within 180 days before screening)
NCT07242664,Exclusion,hypoglycemia unawareness
NCT07242664,Exclusion,estimated glomerular filtration rate (eGFR) <60.0 mL/min/1.73 m2
NCT07199946,Inclusion,Type 1 diabetes according to the ADA classification within the previous 3 months at the time of screening
