nct_id,Type,Criterion
NCT06576635,Inclusion,Age ≥ 18 years of age at time of consent
NCT06576635,Inclusion,ECOG performance status score of ≤2
NCT06576635,Inclusion,Advanced non-small cell lung cancer to meet histologically confirmed Stage IV NSCLC documented by biopsy.
NCT06576635,Inclusion,Patient has received at least 1 prior line of systemic therapy for Stage IV NSCLC.
NCT06576635,Inclusion,Must have not received any cancer treatment for at least 2 weeks.
NCT06576635,Inclusion,Must be a candidate for small molecule drug treatment.
NCT06576635,Inclusion,Women of childbearing potential must not be pregnant or breast-feeding.
NCT06576635,Exclusion,Active infection requiring systemic therapy within 7 days of enrollment.
NCT06576635,Exclusion,"Uncontrolled HIV/AIDS or active viral hepatitis (e.g., HBV, HCV)"
NCT06576635,Exclusion,ECOG performance status score >2
NCT06576635,Exclusion,"Clinically significant lung, heart, or autoimmune disease"
NCT06576635,Exclusion,Life expectancy <12 weeks
NCT06576635,Exclusion,Prior solid organ or bone marrow transplant
NCT06576635,Exclusion,"Antibiotics, vaccines or other type of surgery within 4 weeks prior intervention treatment"
NCT06576635,Exclusion,Pregnant or nursing
NCT04995523,Inclusion,Aged 18 or above
NCT04995523,Inclusion,Unresectable stage III or stage IV squamous or non-squamous NSCLC not amenable to curative surgery or radiation.
NCT04995523,Inclusion,Documented PD-L1 expression by PD-L1 IHC per local report.
NCT04995523,Inclusion,Confirmed progression during treatment with a CPI-including regimen.
NCT04995523,Inclusion,ECOG performance status of 0 or 1 at enrolment.
NCT04995523,Inclusion,Life expectancy of ≥ 12 weeks at enrolment.
NCT04995523,Inclusion,Have at least 1 measurable lesion per RECIST v1.1.
NCT04995523,Inclusion,"Adequate bone marrow, liver and kidney function"
NCT04995523,Exclusion,Sensitizing epidermal growth factor receptor (EGFR) mutations or anaplastic lymphoma kinase (ALK) fusion
NCT04995523,Exclusion,"Documented test result for any other known genomic alteration for which a targeted therapy is approved in first line per local standard of care (e.g. ROS1, NTRK fusions, BRAF, V600E mutation)"
NCT04995523,Exclusion,Previous treatment with an anti-TIGIT therapy
NCT04995523,Exclusion,Primary or secondary resistance after treatment with 2 or more regiments including a CPI.
NCT07134413,Inclusion,Patients aged ≥18
NCT07134413,Inclusion,Histologically or cytologically confirmed stage III or IV non-squamous non-small cell lung cancer (NSCLC) per the American Joint Committee on Cancer (AJCC) 8th Edition staging system
NCT07134413,Inclusion,at least one measurable lesion according to RECIST 1.1 criteria
NCT07134413,Inclusion,ECOG PS 0-1.
NCT07134413,Inclusion,Subjects must have adequately documented disease progression following prior treatment with PD-1/PD-L1 inhibitors (administered as monotherapy or in combination with chemotherapy)
NCT07134413,Inclusion,The most recent tumor tissue sample prior to the first dose of the study drug demonstrated PD-L1 TPS <1% 9. appropriate organ function
NCT07134413,Exclusion,"Known presence of sensitizing mutations in EGFR, EGFR exon 20 insertions, ALK fusions, ROS1 fusions, RET fusions, NTRK fusions, BRAF V600E mutations, MET exon 14 skipping mutations, or HER2 sensitizing mutations."
NCT07134413,Exclusion,"Patients with symptomatic, neurologically unstable central nervous system (CNS) metastases, or CNS diseases that require increased steroid doses to control"
NCT07134413,Exclusion,Prior lines of systemic anti-tumor therapy ≥ 2.
NCT06496009,Inclusion,Aged 18-80 years;
NCT06496009,Inclusion,Wild-type EGFR/ALK;
NCT06496009,Inclusion,"Patients with locally advanced (stage IIIb/IIIc), metastatic, or recurrent (stage IV) NSCLC confirmed by histology or cytology, who are not eligible for curative surgery and cannot undergo definitive radiotherapy/chemotherapy, according to the 8th edition of the TNM staging classification by the International Association for the Study of Lung Cancer and the American Joint Committee on Cancer;"
NCT06496009,Inclusion,PD-L1 negative；
NCT06496009,Inclusion,Patients receiving first-line immunotherapy (such as PD-1/PD-L1 inhibitors).
NCT06074588,Inclusion,Histologically- or cytologically-documented advanced (Stage III not eligible for resection or curative radiation) or metastatic non-squamous NSCLC with specific mutations.
NCT06074588,Inclusion,Documentation of locally assessed radiological disease progression while on or after last treatment based on Response Evaluation Criteria in Solid Tumors Version (RECIST) 1.1.
NCT06074588,Inclusion,Measurable disease per RECIST 1.1 as assessed by the local site investigator.
NCT06074588,Inclusion,"Archival tumor tissue sample or newly obtained core, incisional, or excisional biopsy of a tumor lesion not previously irradiated has been provided"
NCT06074588,Inclusion,Have an ECOG performance status of 0 or 1 within 3 days before randomization.
NCT06074588,Exclusion,Has predominantly squamous cell histology NSCLC.
NCT06074588,Exclusion,Has mixed tumor(s) with small cell elements.
NCT06074588,Exclusion,Has active inflammatory bowel disease requiring immunosuppressive medication or previous history of inflammatory bowel disease.
NCT06074588,Exclusion,Has Grade ≥2 peripheral neuropathy.
NCT06074588,Exclusion,"Has history of documented severe dry eye syndrome, severe Meibomian gland disease and/or blepharitis, or corneal disease that prevents/delays corneal healing."
NCT06074588,Exclusion,"Has uncontrolled, significant cardiovascular disease or cerebrovascular disease."
NCT06074588,Exclusion,"Has an EGFR T790M mutation and has not received a third generation EGFR TKI (eg, osimertinib)."
NCT06074588,Exclusion,Received prior systemic anticancer therapy including investigational agents within 4 weeks or 5 half-lives (whichever is shorter) before randomization.
NCT06074588,Exclusion,Received a live or live-attenuated vaccine within 30 days before the first dose of study intervention.
NCT06074588,Exclusion,Completed palliative radiotherapy within 7 days of the first dose. Participants must have recovered from all radiation-related toxicities and not require corticosteroids.
NCT06074588,Exclusion,Received radiation therapy to the lung that is >30 Gy within 6 months of the first dose of study intervention.
NCT06074588,Exclusion,Received prior treatment with a trophoblast cell-surface antigen 2 (TROP2)-targeted antibody-drug conjugate (ADC).
NCT06074588,Exclusion,Received prior treatment with a topoisomerase I-containing ADC.
NCT06074588,Exclusion,Has received an investigational agent or has used an investigational device within 4 weeks prior to study intervention administration.
NCT06074588,Exclusion,Known additional malignancy that is progressing or has required active treatment within the past 3 years.
NCT06074588,Exclusion,Active infection requiring systemic therapy.
NCT06074588,Exclusion,History of noninfectious pneumonitis/ILD that required steroids or has current pneumonitis/ILD.
